Tail Number,task_code,Started_Date_x,Completed_Date_x,oamt_barcode
123456,18-11-00,2019-06-07 20:17:00,2019-06-07 20:47:00,CNHZ
123456,19-10-00,2019-06-01 20:32:12,2019-06-01 20:37:00,CKPZ
123456,19-10-00,2019-06-05 19:06:00,2019-06-05 19:21:00,CLS9
123456,19-10-00,2019-06-07 20:42:12,2019-06-07 20:53:00,CMNR
123456,19-10-00,2019-06-08 21:21:00,2019-06-08 21:36:29,CNUB
123456,19-10-00,2019-06-08 21:36:29,2019-06-08 22:09:00,CNUB
123456,19-10-00,2019-06-09 16:59:00,2019-06-09 17:14:29,CP06
123456,19-10-00,2019-06-09 17:14:29,2019-06-09 17:17:00,CP06
123456,19-10-00,2019-06-10 16:21:12,2019-06-10 16:26:00,CP38
123456,19-10-00,2019-06-11 18:13:00,2019-06-11 18:16:00,CPFW
123456,19-10-00,2019-06-12 18:47:12,2019-06-12 18:52:00,CQBX
123456,19-10-00,2019-06-13 20:50:00,2019-06-13 21:05:29,CQTR
123456,19-10-00,2019-06-13 21:05:29,2019-06-13 21:20:00,CQTR
123456,19-10-00,2019-06-18 19:39:12,2019-06-18 19:50:00,CTLQ
123456,19-10-00,2019-06-19 17:23:00,2019-06-19 17:38:29,CU23
123456,19-10-00,2019-06-19 17:38:29,2019-06-19 17:53:00,CU23
123456,24-21-04,2019-06-20 16:08:00,2019-06-20 17:08:00,CVBN
123456,24-21-04,2019-06-20 19:09:48,2019-06-20 19:30:48,CVBN
123456,24-21-04,2019-06-20 19:30:48,2019-06-20 23:32:00,CVBN
123456,24-21-04,2019-06-20 19:42:12,2019-06-20 23:32:00,CVBN
123456,25-26-10,2019-06-11 21:19:00,2019-06-11 21:25:00,CQ6R
123456,25-26-10,2019-06-11 21:25:00,2019-06-11 21:49:00,CQ6R
123456,25-61-01,2019-06-03 10:33:00,2019-06-03 13:19:03,CKW7
123456,25-61-01,2019-06-03 13:19:03,2019-06-03 13:33:00,CKW7
123456,25-61-01,2019-06-03 13:46:00,2019-06-03 15:46:00,CKW7
123456,25-61-01,2019-06-04 10:46:00,2019-06-04 12:46:00,CKW7
123456,25-66-02,2019-06-06 13:45:00,2019-06-06 13:57:00,CMWH
123456,25-66-02,2019-06-06 13:45:00,2019-06-06 14:00:00,CMWE
123456,25-66-02,2019-06-06 15:11:00,2019-06-06 15:41:00,CMWH
